"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","예외 케이스","0","0","잘못된 ID,PW 입력","0"
"1","","0","UI 테스트","0","0","수량 버튼 동작 테스트","0"
"0","","0","UI 테스트","11","0","상품 검색 테스트","0"
"0","","1","UI 테스트","0","0","상품 추가 테스트","0"
"0","","0","영화 목록 API 테스트","4","0","영화 상세 정보 API 테스트","0"
"0","","0","영화 목록 API 테스트","1","0","인기 영화 조회","0"
"0","","0","UI 테스트","2","0","검색 실패 케이스","0"
"1","","0","예외 케이스","0","0","잘못된 API 키","0"
"1","","0","UI 테스트","0","0","로그인 > 상품 추가 > 추가 확인 테스트","0"
"0","","0","영화 목록 API 테스트","2","0","영화 페이지 SLA 응답 시간 테스트","0"
"0","","1","UI 테스트","0","0","검색창 FAILED 테스트","0"
"0","","0","영화 목록 API 테스트","1","0","영화 검색 API 테스트","0"
"0","","0","UI 테스트","1","0","카테고리 기능 테스트","0"
"0","","0","UI 테스트","1","0","장바구니 화면 체크 테스트","0"
