id,title,vote_average,release_date
770156,Lucy Shimmers and the Prince of Peace,8.4,2020-10-19
27205,Inception,8.371,2010-07-15
724089,Gabriel's Inferno: Part II,8.4,2020-07-31
761053,Gabriel's Inferno: Part III,8.4,2020-11-19
12493,High and Low,8.349,1963-03-01
1058694,Radical,8.355,2023-10-19
567,Rear Window,8.347,1954-08-01
274,The Silence of the Lambs,8.346,1991-02-14
569094,Spider-Man: Across the Spider-Verse,8.3,2023-05-31
73,American History X,8.33,1998-07-01
620249,The Legend of Hei,8.328,2019-08-27
128,Princess Mononoke,8.324,1997-07-12
105,Back to the Future,8.323,1985-07-03
820067,The Quintessential Quintuplets Movie,8.3,2022-05-20
1184918,The Wild Robot,8.317,2024-09-12
3782,Ikiru,8.315,1952-10-09
1218925,Chainsaw Man - The Movie: Reze Arc,8.3,2025-09-19
372754,Dou kyu sei – Classmates,8.3,2016-02-20
207,Dead Poets Society,8.302,1989-06-02
101,Léon: The Professional,8.299,1994-09-14
